##### Sequence Predictions #####
# Format = (NB,DT,SVM)
# Rows are the training sets and columns are the testing sets

# Correct Rate
TRAIN\TEST	COD1              	COD2              	NCOD              	RAND              	MIX1              	MIX2              	CTRL
COD1      	(84.16, 88.35, 91.81)	(30.72, 25.80, 43.82)	(28.48, 25.34, 42.89)	(32.42, 24.90, 40.62)	(56.90, 60.71, 70.62)	(29.81, 26.31, 46.17)	(29.85, 23.31, 36.90)	
COD2      	(58.07, 59.54, 55.96)	(68.14, 65.59, 83.86)	(67.89, 65.67, 79.00)	(68.30, 64.35, 76.37)	(63.67, 61.72, 66.23)	(70.32, 77.16, 87.65)	(69.88, 63.76, 71.81)	
NCOD      	(57.44, 58.50, 54.07)	(68.98, 67.34, 79.08)	(67.62, 64.20, 83.14)	(68.29, 64.03, 74.10)	(64.41, 73.79, 74.87)	(69.67, 78.63, 88.13)	(69.39, 63.11, 70.70)	
RAND      	(59.70, 60.05, 52.02)	(69.77, 67.26, 77.03)	(68.77, 67.74, 75.20)	(68.23, 66.19, 81.53)	(64.51, 64.08, 61.50)	(69.74, 66.54, 76.22)	(69.22, 66.46, 68.26)	
MIX1      	(86.55, 91.28, 94.69)	(57.69, 55.17, 69.55)	(57.58, 71.29, 82.90)	(58.79, 53.56, 66.01)	(68.39, 70.28, 83.37)	(58.74, 62.43, 76.84)	(59.80, 51.88, 61.05)	
MIX2      	(59.56, 60.31, 57.97)	(70.26, 78.13, 87.87)	(69.79, 78.35, 87.87)	(68.39, 63.94, 75.07)	(65.58, 68.44, 72.14)	(68.15, 66.69, 83.19)	(69.86, 64.55, 71.10)	
CTRL      	(57.37, 58.28, 51.88)	(68.19, 65.74, 75.36)	(68.23, 64.90, 76.33)	(68.89, 64.04, 73.31)	(63.47, 61.90, 62.49)	(68.33, 65.78, 75.81)	(68.66, 64.72, 79.99)	

# Sensitivity
TRAIN\TEST	COD1              	COD2              	NCOD              	RAND              	MIX1              	MIX2              	CTRL
COD1      	(80.17, 88.30, 89.41)	(80.17, 88.30, 89.41)	(80.17, 88.30, 89.41)	(80.17, 88.30, 89.41)	(80.17, 88.30, 89.41)	(80.17, 88.30, 89.41)	(80.17, 88.30, 89.41)	
COD2      	(66.63, 64.41, 88.18)	(66.63, 64.41, 88.18)	(66.63, 64.41, 88.18)	(66.63, 64.41, 88.18)	(66.63, 64.41, 88.18)	(66.63, 64.41, 88.18)	(66.63, 64.41, 88.18)	
NCOD      	(67.36, 63.79, 89.04)	(67.36, 63.79, 89.04)	(67.36, 63.79, 89.04)	(67.36, 63.79, 89.04)	(67.36, 63.79, 89.04)	(67.36, 63.79, 89.04)	(67.36, 63.79, 89.04)	
RAND      	(67.36, 67.12, 91.01)	(67.36, 67.12, 91.01)	(67.36, 67.12, 91.01)	(67.36, 67.12, 91.01)	(67.36, 67.12, 91.01)	(67.36, 67.12, 91.01)	(67.36, 67.12, 91.01)	
