110	174	+	-47:+18
3139	3190	+	-41:+11
3599	3668	+	-51:+19
6871	6934	+	-45:+19
9494	9556	+	-46:+17
9592	9654	+	-45:+18
25182	25224	-	-40:+3
26337	26389	+	-42:+11
29705	29745	+	-39:+2
30039	30105	+	-46:+21
30123	30181	+	-45:+14
45200	45257	-	-50:+8
45214	45269	-	-48:+8
51529	51574	+	-42:+4
52704	52765	+	-44:+18
53083	53133	+	-39:+12
55787	55833	+	-44:+3
56276	56340	+	-48:+17
58708	58749	+	-40:+2
63979	64018	+	-37:+3
68139	68183	+	-39:+6
69018	69059	+	-36:+6
69018	69059	+	-36:+6
70458	70524	+	-51:+16
76912	76960	+	-42:+7
81690	81738	+	-41:+8
82788	82837	+	-43:+7
101314	101365	+	-46:+6
101366	101417	+	-43:+9
108559	108600	+	-39:+3
110951	111013	+	-52:+11
116530	116592	+	-45:+18
121665	121709	+	-41:+4
156047	156093	+	-42:+5
156549	156597	+	-39:+10
159081	159139	-	-39:+20
160573	160616	-	-35:+9
183349	183408	-	-50:+10
183354	183406	-	-45:+8
194782	194824	+	-39:+4
203490	203554	-	-47:+18
203559	203625	+	-49:+18
213824	213891	+	-64:+4
233919	233974	-	-46:+10
235466	235528	-	-45:+18
243832	243873	+	-39:+3
247672	247718	+	-39:+8
258455	258495	+	-37:+4
265250	265324	-	-55:+20
276758	276802	+	-40:+5
282409	282457	+	-37:+12
283940	283989	+	-44:+6
290848	290893	+	-40:+6
308229	308305	+	-43:+34
312022	312068	+	-45:+2
312040	312082	+	-40:+3
320909	320956	+	-43:+5
320943	320994	+	-47:+5
325250	325308	-	-42:+17
327447	327513	+	-50:+17
329676	329723	+	-39:+9
334563	334608	+	-37:+9
338161	338206	+	-43:+3
338213	338263	+	-42:+9
362781	362846	-	-49:+17
362854	362914	+	-43:+18
364181	364245	+	-40:+25
365752	365827	+	-56:+20
369711	369775	+	-35:+30
376632	376694	+	-46:+17
428763	428802	+	-36:+4
429840	429882	+	-40:+3
441504	441560	+	-39:+18
442756	442796	+	-37:+4
444390	444436	+	-40:+7
471639	471683	+	-40:+5
473739	473778	+	-36:+4
475990	476054	+	-43:+22
488772	488814	+	-39:+4
494441	494482	+	-38:+4
496582	496627	-	-41:+5
500081	500130	+	-43:+7
512749	512791	+	-38:+5
515643	515689	-	-40:+7
516075	516123	+	-40:+9
519317	519382	+	-45:+21
522016	522058	+	-40:+3
548269	548338	+	-56:+14
548355	548396	+	-40:+2
589631	589694	+	-50:+14
594120	594164	-	-41:+4
596270	596329	+	-50:+10
596815	596864	+	-45:+5
600844	600912	-	-40:+29
600919	600969	+	-37:+14
621519	621567	-	-45:+4
621591	621639	-	-35:+14
626541	626600	+	-50:+10
649794	649854	+	-43:+18
667356	667419	+	-46:+18
671169	671213	+	-40:+5
676113	676158	+	-41:+5
683385	683427	-	-37:+6
685033	685080	-	-42:+6
686589	686638	-	-42:+8
686600	686648	-	-40:+9
692563	692626	+	-46:+18
698325	698389	+	-45:+20
728429	728471	-	-40:+3
728438	728482	-	-38:+7
750886	750931	+	-42:+4
755839	755882	+	-38:+6
798321	798365	+	-39:+6
801172	801214	+	-37:+6
801172	801214	+	-37:+6
812075	812120	+	-41:+5
834264	834323	+	-48:+12
840485	840570	-	-55:+31
844711	844752	+	-37:+5
850283	850324	+	-38:+4
861909	861960	+	-44:+8
861948	862000	+	-44:+9
878940	878979	+	-34:+6
885573	885614	+	-40:+2
889954	890000	+	-42:+5
928312	928358	-	-41:+6
930702	930743	+	-36:+6
930710	930755	+	-43:+3
936596	936643	+	-43:+5
936868	936912	+	-39:+6
937013	937061	-	-38:+11
937845	937894	+	-40:+10
944399	944444	+	-41:+5
951403	951453	+	-39:+12
953138	953197	+	-47:+13
961224	961285	+	-47:+15
973070	973114	+	-38:+7
975104	975149	+	-40:+6
984567	984634	-	-50:+18
986906	986971	+	-53:+13
988958	989016	+	-40:+19
988958	989004	+	-40:+7
989634	989683	+	-39:+11
